model,grid_w,grid_h,n_sensors,start_pos_name,start_x,start_y,seed,total_reward,data_collected,ndr_pct,battery_pct,energy_consumed,efficiency,steps,jains_index,min_collection_rate,mean_collection_rate,starved_sensors,trajectory_file
SmartGreedyV2,200,200,20,center,100,100,456,5550890.33,50390.0,100.0,2.0,268.5278,187.6545,1381,0.974,58.18,82.93,0,SmartGreedyV2_200x200_n20_center_456.npy
SmartGreedyV2,200,200,20,center,100,100,789,4677243.7,42462.0,100.0,1.96,268.6389,158.0652,1383,0.9446,34.35,69.78,0,SmartGreedyV2_200x200_n20_center_789.npy
SmartGreedyV2,200,200,20,center,100,100,1337,5774294.93,52210.0,100.0,2.0,268.5278,194.4296,1381,0.9811,53.88,85.92,0,SmartGreedyV2_200x200_n20_center_1337.npy
SmartGreedyV2,200,200,20,corner_00,0,0,42,4552968.03,41341.0,100.0,1.94,268.6944,153.8601,1389,0.8228,3.07,67.64,1,SmartGreedyV2_200x200_n20_corner_00_42.npy
SmartGreedyV2,200,200,20,corner_00,0,0,123,5171933.23,46802.0,100.0,1.95,268.6667,174.1999,1404,0.9201,20.23,75.76,0,SmartGreedyV2_200x200_n20_corner_00_123.npy
SmartGreedyV2,200,200,20,corner_00,0,0,456,4278626.23,38928.0,100.0,1.99,268.5556,144.9546,1384,0.7898,6.16,63.93,2,SmartGreedyV2_200x200_n20_corner_00_456.npy
SmartGreedyV2,200,200,20,corner_00,0,0,789,3977987.56,36059.0,100.0,2.0,268.5278,134.2828,1385,0.7241,4.1,59.17,4,SmartGreedyV2_200x200_n20_corner_00_789.npy
SmartGreedyV2,200,200,20,corner_00,0,0,1337,4581652.24,41584.0,100.0,1.98,268.5833,154.8274,1391,0.8311,10.21,67.94,2,SmartGreedyV2_200x200_n20_corner_00_1337.npy
SmartGreedyV2,200,200,20,corner_0G,0,200,42,3881101.11,35295.0,100.0,2.0,268.5278,131.4387,1381,0.7499,3.09,58.09,3,SmartGreedyV2_200x200_n20_corner_0G_42.npy
SmartGreedyV2,200,200,20,corner_0G,0,200,123,5242844.48,47531.0,100.0,1.94,268.6944,176.8961,1403,0.926,40.5,77.0,0,SmartGreedyV2_200x200_n20_corner_0G_123.npy
SmartGreedyV2,200,200,20,corner_0G,0,200,456,4498785.22,40727.0,100.0,1.95,268.6667,151.5908,1402,0.8598,25.54,66.02,0,SmartGreedyV2_200x200_n20_corner_0G_456.npy
SmartGreedyV2,200,200,20,corner_0G,0,200,789,4946290.79,44772.0,100.0,1.95,268.6667,166.6448,1402,0.9,30.39,72.58,0,SmartGreedyV2_200x200_n20_corner_0G_789.npy
SmartGreedyV2,200,200,20,corner_0G,0,200,1337,4435039.51,40325.0,100.0,1.99,268.5556,150.1552,1382,0.7827,8.29,66.32,3,SmartGreedyV2_200x200_n20_corner_0G_1337.npy
SmartGreedyV2,200,200,20,corner_G0,200,0,42,4847524.91,43889.0,100.0,1.97,268.6111,163.3916,1404,0.8459,11.13,71.05,3,SmartGreedyV2_200x200_n20_corner_G0_42.npy
SmartGreedyV2,200,200,20,corner_G0,200,0,123,5551377.77,50291.0,100.0,1.96,268.6389,187.2078,1403,0.9485,38.47,81.47,0,SmartGreedyV2_200x200_n20_corner_G0_123.npy
SmartGreedyV2,200,200,20,corner_G0,200,0,456,5435991.82,49036.0,100.0,1.94,268.6944,182.4969,1409,0.9191,25.2,79.1,0,SmartGreedyV2_200x200_n20_corner_G0_456.npy
SmartGreedyV2,200,200,20,corner_G0,200,0,789,3615280.12,32763.0,100.0,1.99,268.5556,121.9956,1398,0.7598,18.5,53.26,1,SmartGreedyV2_200x200_n20_corner_G0_789.npy
SmartGreedyV2,200,200,20,corner_G0,200,0,1337,4072109.19,36828.0,100.0,1.94,268.6944,137.0635,1393,0.7606,3.06,60.09,3,SmartGreedyV2_200x200_n20_corner_G0_1337.npy
