agent,condition,seed,grid,n_sensors,frac_sf7,frac_sf9,frac_sf11,frac_sf12,hhi,entropy,mean_sf_changes,mean_final_sf,ndr
DQN,200x200/N=20,209,200,20,0.0,0.05,0.2,0.75,0.605,0.9917601481809734,0.0,11.65,90.0
Relational RL,200x200/N=20,209,200,20,0.0,0.1,0.55,0.35,0.43500000000000005,1.3366664819166874,103.2,11.15,100.0
TSP Oracle,200x200/N=20,209,200,20,0.05,0.15,0.4,0.4,0.3450000000000001,1.6841837197791887,89.6,10.9,100.0
DQN,300x300/N=30,200,300,30,0.03333333333333333,0.06666666666666667,0.1,0.8,0.6555555555555557,1.0137576782928113,0.0,11.533333333333333,73.33333333333333
Relational RL,300x300/N=30,200,300,30,0.0,0.1,0.4666666666666667,0.43333333333333335,0.41555555555555557,1.3681048373817144,64.46666666666667,11.233333333333333,96.66666666666667
TSP Oracle,300x300/N=30,200,300,30,0.03333333333333333,0.06666666666666667,0.4,0.5,0.41555555555555557,1.45279363084913,60.666666666666664,11.233333333333333,100.0
DQN,300x300/N=30,201,300,30,0.0,0.0,0.1,0.9,0.8200000000000001,0.4689955935892812,0.0,11.9,56.666666666666664
Relational RL,300x300/N=30,201,300,30,0.0,0.06666666666666667,0.36666666666666664,0.5666666666666667,0.45999999999999996,1.2555367253996508,64.26666666666667,11.433333333333334,96.66666666666667
TSP Oracle,300x300/N=30,201,300,30,0.0,0.06666666666666667,0.36666666666666664,0.5666666666666667,0.45999999999999996,1.2555367253996508,48.666666666666664,11.433333333333334,100.0
DQN,300x300/N=30,202,300,30,0.0,0.03333333333333333,0.16666666666666666,0.8,0.668888888888889,0.8519325792170331,0.0,11.733333333333333,73.33333333333333
Relational RL,300x300/N=30,202,300,30,0.0,0.06666666666666667,0.3,0.6333333333333333,0.4955555555555555,1.198892336661554,50.2,11.5,100.0
TSP Oracle,300x300/N=30,202,300,30,0.03333333333333333,0.06666666666666667,0.3333333333333333,0.5666666666666667,0.4377777777777777,1.4166856206042056,54.766666666666666,11.3,100.0
DQN,300x300/N=30,203,300,30,0.0,0.03333333333333333,0.06666666666666667,0.9,0.8155555555555556,0.5608251769947301,0.0,11.833333333333334,73.33333333333333
Relational RL,300x300/N=30,203,300,30,0.0,0.03333333333333333,0.4,0.5666666666666667,0.4822222222222222,1.1566766519448637,59.733333333333334,11.5,100.0
TSP Oracle,300x300/N=30,203,300,30,0.03333333333333333,0.0,0.23333333333333334,0.7333333333333333,0.5933333333333333,0.9815912601277264,51.63333333333333,11.6,100.0
DQN,300x300/N=30,204,300,30,0.0,0.0,0.03333333333333333,0.9666666666666667,0.9355555555555555,0.21084230031853213,0.0,11.966666666666667,80.0
Relational RL,300x300/N=30,204,300,30,0.0,0.06666666666666667,0.43333333333333335,0.5,0.44222222222222224,1.2832547532764527,64.36666666666666,11.366666666666667,100.0
TSP Oracle,300x300/N=30,204,300,30,0.03333333333333333,0.03333333333333333,0.26666666666666666,0.6666666666666666,0.5177777777777778,1.2256051990169436,51.43333333333333,11.466666666666667,100.0
DQN,300x300/N=30,205,300,30,0.0,0.03333333333333333,0.26666666666666666,0.7,0.5622222222222222,1.0322683996633863,0.0,11.633333333333333,80.0
Relational RL,300x300/N=30,205,300,30,0.0,0.0,0.4,0.6,0.52,0.9709505944546686,75.1,11.6,100.0
